sentence,entity1,entity2,relation
John Doe used a crossbow in the crossbow.,John Doe,crossbow,used_weapon
Michael Smith used a shotgun at the shotgun.,Michael Smith,shotgun,used_weapon
David Johnson used a semi-automatic weapon in the semi-automatic weapon.,David Johnson,semi-automatic weapon,used_weapon
Robert Brown used a shotgun in the shotgun.,Robert Brown,shotgun,used_weapon
James Wilson used a knife in the knife.,James Wilson,knife,used_weapon
William Davis used a shotgun at the shotgun.,William Davis,shotgun,used_weapon
Richard Miller used a bow at the bow.,Richard Miller,bow,used_weapon
Joseph Garcia used a crossbow at the crossbow.,Joseph Garcia,crossbow,used_weapon
Charles Martinez used a semi-automatic weapon during the semi-automatic weapon.,Charles Martinez,semi-automatic weapon,used_weapon
Thomas Robinson used a handgun during the handgun.,Thomas Robinson,handgun,used_weapon
Daniel Clark used a crossbow at the crossbow.,Daniel Clark,crossbow,used_weapon
Matthew Rodriguez used a rifle at the rifle.,Matthew Rodriguez,rifle,used_weapon
Anthony Lewis used a pistol in the pistol.,Anthony Lewis,pistol,used_weapon
Mark Lee used a rifle in the rifle.,Mark Lee,rifle,used_weapon
Paul Walker used a bow during the bow.,Paul Walker,bow,used_weapon
Andrew Hall used a handgun at the handgun.,Andrew Hall,handgun,used_weapon
Steven Young used a shotgun during the shotgun.,Steven Young,shotgun,used_weapon
Kevin King used a knife in the knife.,Kevin King,knife,used_weapon
Brian Scott used a pistol during the pistol.,Brian Scott,pistol,used_weapon
Jason Green used a knife in the knife.,Jason Green,knife,used_weapon
Eric Adams used a crossbow in the crossbow.,Eric Adams,crossbow,used_weapon
Ryan Baker used a machine gun during the machine gun.,Ryan Baker,machine gun,used_weapon
Jacob Nelson used a bow at the bow.,Jacob Nelson,bow,used_weapon
Justin Carter used a spear at the spear.,Justin Carter,spear,used_weapon
Gary Mitchell used a handgun at the handgun.,Gary Mitchell,handgun,used_weapon
Timothy Perez used a semi-automatic weapon at the semi-automatic weapon.,Timothy Perez,semi-automatic weapon,used_weapon
Larry Roberts used a pistol at the pistol.,Larry Roberts,pistol,used_weapon
Jeffrey Turner used a crossbow at the crossbow.,Jeffrey Turner,crossbow,used_weapon
Frank Collins used a knife in the knife.,Frank Collins,knife,used_weapon
Scott Edwards used a spear at the spear.,Scott Edwards,spear,used_weapon
Brandon Morris used a spear at the spear.,Brandon Morris,spear,used_weapon
Raymond Murphy used a semi-automatic weapon in the semi-automatic weapon.,Raymond Murphy,semi-automatic weapon,used_weapon
Patrick Cook used a knife at the knife.,Patrick Cook,knife,used_weapon
Stephen Rogers used a pistol during the pistol.,Stephen Rogers,pistol,used_weapon
Kenneth Reed used a shotgun in the shotgun.,Kenneth Reed,shotgun,used_weapon
Edward Stewart used a shotgun during the shotgun.,Edward Stewart,shotgun,used_weapon
Sean Bailey used a crossbow in the crossbow.,Sean Bailey,crossbow,used_weapon
Gregory Jenkins used a rifle in the rifle.,Gregory Jenkins,rifle,used_weapon
Dennis Long used a machine gun in the machine gun.,Dennis Long,machine gun,used_weapon
Jerry Hughes used a pistol at the pistol.,Jerry Hughes,pistol,used_weapon
Walter Foster used a semi-automatic weapon during the semi-automatic weapon.,Walter Foster,semi-automatic weapon,used_weapon
Douglas Price used a shotgun in the shotgun.,Douglas Price,shotgun,used_weapon
Peter Bell used a spear in the spear.,Peter Bell,spear,used_weapon
Harold Ward used a spear at the spear.,Harold Ward,spear,used_weapon
Carl Brooks used a rifle in the rifle.,Carl Brooks,rifle,used_weapon
Arthur Sanders used a pistol in the pistol.,Arthur Sanders,pistol,used_weapon
Ryan Coleman used a spear during the spear.,Ryan Coleman,spear,used_weapon
Lawrence Powell used a pistol during the pistol.,Lawrence Powell,pistol,used_weapon
Anthony Butler used a spear during the spear.,Anthony Butler,spear,used_weapon
Nicholas Simmons used a knife in the knife.,Nicholas Simmons,knife,used_weapon
The South Dakota happened in South Dakota.,assault,South Dakota,occurred_in
The Washington happened in Washington.,massacre,Washington,occurred_in
The Oklahoma happened in Oklahoma.,riot,Oklahoma,occurred_in
The Vermont took place in Vermont.,standoff,Vermont,occurred_in
The Kansas took place in Kansas.,attack,Kansas,occurred_in
The California occurred in California.,ambush,California,occurred_in
The Vermont took place in Vermont.,ambush,Vermont,occurred_in
The Arkansas occurred in Arkansas.,incident,Arkansas,occurred_in
The Kentucky occurred in Kentucky.,ambush,Kentucky,occurred_in
The Louisiana occurred in Louisiana.,attack,Louisiana,occurred_in
The Wyoming took place in Wyoming.,massacre,Wyoming,occurred_in
The Utah happened in Utah.,hijacking,Utah,occurred_in
The Oklahoma took place in Oklahoma.,shooting,Oklahoma,occurred_in
The Connecticut took place in Connecticut.,riot,Connecticut,occurred_in
The Michigan took place in Michigan.,massacre,Michigan,occurred_in
The California happened in California.,assault,California,occurred_in
The Iowa happened in Iowa.,robbery,Iowa,occurred_in
The Florida took place in Florida.,shooting,Florida,occurred_in
The New York occurred in New York.,ambush,New York,occurred_in
The Massachusetts happened in Massachusetts.,hijacking,Massachusetts,occurred_in
The Kansas took place in Kansas.,shooting,Kansas,occurred_in
The Georgia occurred in Georgia.,standoff,Georgia,occurred_in
